package1,package2,strength,count
os,os,1.0,1005020
sys,sys,1.0,784379
django,django,1.0,618941
__future__,__future__,1.0,445335
os,sys,0.5014297935054355,393311
time,time,1.0,359073
re,re,1.0,349309
logging,logging,1.0,338447
datetime,datetime,1.0,311685
numpy,numpy,1.0,298698
unittest,unittest,1.0,241692
json,json,1.0,241385
os,re,0.4487860318514553,156765
os,time,0.4353432310421558,156320
random,random,1.0,142625
collections,collections,1.0,140847
subprocess,subprocess,1.0,138888
logging,os,0.3973384311280644,134478
sys,time,0.3715010596731027,133396
re,sys,0.3503345175761289,122375
math,math,1.0,119515
os,subprocess,0.769411324232475,106862
urllib,urllib,1.0,97426
shutil,shutil,1.0,95924
argparse,argparse,1.0,92188
json,os,0.3793939142863061,91580
os,shutil,0.9322275968475042,89423
threading,threading,1.0,89172
copy,copy,1.0,85307
tempfile,tempfile,1.0,83771
socket,socket,1.0,81162
matplotlib,matplotlib,1.0,80931
itertools,itertools,1.0,80771
setuptools,setuptools,1.0,80758
flask,flask,1.0,75326
subprocess,sys,0.541040262657681,75144
mock,mock,1.0,74613
six,six,1.0,73351
traceback,traceback,1.0,72306
os,tempfile,0.8588533024555037,71947
requests,requests,1.0,68705
functools,functools,1.0,68628
scipy,scipy,1.0,67199
string,string,1.0,66568
matplotlib,numpy,0.7834575131902485,63406
hashlib,hashlib,1.0,61282
warnings,warnings,1.0,60376
numpy,scipy,0.8787184333100195,59049
optparse,optparse,1.0,58442
sqlalchemy,sqlalchemy,1.0,57583
glob,glob,1.0,53753
argparse,sys,0.5759860285503536,53099
uuid,uuid,1.0,52443
xml,xml,1.0,51654
distutils,distutils,1.0,51165
urllib2,urllib2,1.0,50651
argparse,os,0.5398316483707207,49766
PyQt4,PyQt4,1.0,48233
nose,nose,1.0,47208
base64,base64,1.0,46945
struct,struct,1.0,46805
urlparse,urlparse,1.0,46296
shutil,sys,0.47913973562403567,45961
threading,time,0.5075584264118782,45260
pytest,pytest,1.0,45072
glob,os,0.8372369914237345,45004
south,south,1.0,43962
operator,operator,1.0,43005
django,south,0.9716345935125791,42715
sys,traceback,0.5815976544131884,42053
utils,utils,1.0,41658
StringIO,StringIO,1.0,41310
twisted,twisted,1.0,41015
os,urllib,0.4115431199063905,40095
io,io,1.0,39998
os,traceback,0.5530799657013249,39991
os,threading,0.44554344413044455,39730
openerp,openerp,1.0,39667
optparse,sys,0.6675849560247767,39015
csv,csv,1.0,38569
inspect,inspect,1.0,38043
os,socket,0.4637391882900865,37638
socket,sys,0.45205884527241813,36690
types,types,1.0,36586
sys,threading,0.40027138563674697,35693
pprint,pprint,1.0,35597
sys,tempfile,0.4238698356233064,35508
optparse,os,0.5994832483487903,35035
os,setuptools,0.42726417197057875,34505
pandas,pandas,1.0,33846
pickle,pickle,1.0,33728
socket,time,0.4078632857741307,33103
shutil,tempfile,0.39390719938880997,32998
contextlib,contextlib,1.0,32351
codecs,codecs,1.0,32245
hashlib,os,0.5080610946117946,31135
errno,errno,1.0,31065
tests,tests,1.0,30901
config,config,1.0,30874
os,string,0.4465959620237952,29729
lxml,lxml,1.0,29559
copy,os,0.34529405558746645,29456
nova,nova,1.0,28759
datetime,south,0.6451025885992449,28360
google,google,1.0,28301
signal,signal,1.0,27988
util,util,1.0,27866
cStringIO,cStringIO,1.0,27746
ConfigParser,ConfigParser,1.0,27574
multiprocessing,multiprocessing,1.0,27283
glob,sys,0.5049020519784942,27140
string,sys,0.40602091094820336,27028
platform,platform,1.0,26311
json,requests,0.3817917182155593,26231
ctypes,ctypes,1.0,26178
errno,os,0.8155802349911476,25336
time,traceback,0.3471911044726579,25104
distutils,os,0.4762044366266002,24365
models,models,1.0,24309
decimal,decimal,1.0,23848
yaml,yaml,1.0,23274
os,warnings,0.3836126937856102,23161
rest_framework,rest_framework,1.0,23050
cPickle,cPickle,1.0,22902
simplejson,simplejson,1.0,22830
os,xml,0.43911410539358037,22682
sys,warnings,0.3709089704518352,22394
common,common,1.0,22352
sklearn,sklearn,1.0,22311
os,urllib2,0.43410791494738504,21988
oslo_config,oslo_config,1.0,21841
numpy,pandas,0.6444779294451338,21813
PIL,PIL,1.0,21248
test,test,1.0,21150
os,signal,0.7514649135343718,21032
lib,lib,1.0,20951
os,urlparse,0.4508812856402281,20874
oslo,oslo,1.0,20838
io,os,0.5208010400520026,20831
abc,abc,1.0,20594
codecs,os,0.6279113040781517,20247
core,core,1.0,20229
base64,os,0.42939610182128024,20158
StringIO,os,0.48177196804647787,19902
dateutil,dateutil,1.0,19837
ConfigParser,os,0.712120113150069,19636
zope,zope,1.0,19628
os,platform,0.7442134468473263,19581
sys,urllib2,0.38625101182602517,19564
signal,sys,0.698906674288981,19561
gtk,gtk,1.0,19522
pygame,pygame,1.0,19360
